time,symbol,direction,price,stop_loss,take_profit,confidence,confidence_score,trend
2025-08-09 15:20:00,BONKUSDT,BUY,2.735e-05,0.0,0.0,Medium,3,up
2025-08-09 18:15:00,LINKUSDT,BUY,21.2,21.1236,21.3529,Medium,3,up
2025-08-13 17:15:00,XRPUSDT,BUY,3.2674,3.2586,3.2851,Medium,3,up
2025-08-13 17:25:00,ADAUSDT,BUY,0.8739,0.8714,0.8789,Medium,3,up
2025-08-13 18:30:00,FDUSDUSDT,SELL,0.9979,0.9981,0.9976,Medium,3,down
2025-08-13 20:10:00,UNIUSDT,BUY,12.031,11.9966,12.0997,Medium,3,up
2025-08-14 20:10:00,XRPUSDT,SELL,3.0718,3.0796,3.0562,Medium,3,down
2025-08-15 19:10:00,ADAUSDT,SELL,0.9331,0.9386,0.9221,Medium,3,down
2025-08-15 19:20:00,BNBUSDT,SELL,820.79,822.735,816.9,Medium,3,down
2025-08-15 19:45:00,USDCUSDT,BUY,0.9994,0.9993,0.9996,Medium,3,up
2025-08-15 20:00:00,TRXUSDT,SELL,0.3503,0.3508,0.3493,Medium,3,down
2025-08-18 13:50:00,ADAUSDT,SELL,0.9044,0.9081,0.897,Medium,3,down
2025-08-19 07:00:00,SUIUSDT,SELL,3.5333,3.5429,3.514,Medium,3,down
2025-08-19 18:10:00,TOWNSUSDT,SELL,0.0281,0.0282,0.0278,Medium,3,down
